Gender,Born year,EDU,Curloc,Residence,Job,平常在超商結帳時，你多半用什麼方式進行付款？,我都用這個：:平常在超商結帳時，你多半用什麼方式進行付款？,在百貨公司結帳時，你多半用什麼方式進行付款？,我都用這個：:在百貨公司結帳時，你多半用什麼方式進行付款？,Apple Pay:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,Google Pay:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,Line Pay:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,街口支付:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,你有使用過行動支付嗎？,是什麼原因讓你不使用行動支付呢?,我的情況是：:是什麼原因讓你不使用行動支付呢?,Apple Pay:你主要使用哪些行動支付平台？,Google Pay:你主要使用哪些行動支付平台？,台灣Pay:你主要使用哪些行動支付平台？,Pi錢包:你主要使用哪些行動支付平台？,歐付寶:你主要使用哪些行動支付平台？,街口支付:你主要使用哪些行動支付平台？,LINE Pay:你主要使用哪些行動支付平台？,支付寶:你主要使用哪些行動支付平台？,我使用的支付工具還有這個：:你主要使用哪些行動支付平台？,我使用的支付工具還有這個：:你主要使用哪些行動支付平台？,在使用習慣上，你會覺得現金還是行動支付比較好用？,我覺得是：:在使用習慣上，你會覺得現金還是行動支付比較好用？,你認為使用行動支付是更為方便還是更為麻煩？,我覺得是：:你認為使用行動支付是更為方便還是更為麻煩？,你認為使用行動支付是更為安全還是更為危險？,我覺得是：:你認為使用行動支付是更為安全還是更為危險？,「再也不用帶鈔票或信用卡出門，甚至只要帶手機就可完成日常中所有的交易行為。」乍聽之下像是科幻電影的情節，但經資料顯示，瑞典現今的現金交易僅占整體經濟的1%，甚至有許多小朋友表示從未看過鈔票。（圖片來源：https://reurl.cc/9ZDW5j）同樣的，若台灣仿效瑞典朝向「無現金社會」邁進，你會贊成嗎？,同意，我覺得是：:「再也不用帶鈔票或信用卡出門，甚至只要帶手機就可完成日常中所有的交易行為。」乍聽之下像是科幻電影的情節，但經資料顯示，瑞典現今的現金交易僅占整體經濟的1%，甚至有許多小朋友表示從未看過鈔票。（圖片來源：https://reurl.cc/9ZDW5j）同樣的，若台灣仿效瑞典朝向「無現金社會」邁進，你會贊成嗎？,不同意，我覺得是：:「再也不用帶鈔票或信用卡出門，甚至只要帶手機就可完成日常中所有的交易行為。」乍聽之下像是科幻電影的情節，但經資料顯示，瑞典現今的現金交易僅占整體經濟的1%，甚至有許多小朋友表示從未看過鈔票。（圖片來源：https://reurl.cc/9ZDW5j）同樣的，若台灣仿效瑞典朝向「無現金社會」邁進，你會贊成嗎？,同樣發生在瑞典，在無現金的社會下，早在2009年起，就有四千人選擇在身體植入NFC晶片，只要伸出手來，就可以在商店購物、或乘坐大眾運輸時感應使用。（圖片來源：https://reurl.cc/DvjAl6）看完這則新聞，你對這4000人的想法是什麼？,我的想法是：:同樣發生在瑞典，在無現金的社會下，早在2009年起，就有四千人選擇在身體植入NFC晶片，只要伸出手來，就可以在商店購物、或乘坐大眾運輸時感應使用。（圖片來源：https://reurl.cc/DvjAl6）看完這則新聞，你對這4000人的想法是什麼？,換作是你，你會願意選擇施打晶片嗎？,會，我的原因是：:換作是你，你會願意選擇施打晶片嗎？,不會，我的原因是：:換作是你，你會願意選擇施打晶片嗎？,如果台灣同樣開放施打「電子化晶片」的政策，你覺得民眾是否會買單？,我的想法是：:如果台灣同樣開放施打「電子化晶片」的政策，你覺得民眾是否會買單？,「隨著疫情的爆發，為避免透過鈔票與他人直接接觸，更多人願意加入行動支付的行列。」你同意這個判斷嗎？,同意，我覺得是：:「隨著疫情的爆發，為避免透過鈔票與他人直接接觸，更多人願意加入行動支付的行列。」你同意這個判斷嗎？,不同意，我覺得是：:「隨著疫情的爆發，為避免透過鈔票與他人直接接觸，更多人願意加入行動支付的行列。」你同意這個判斷嗎？,你認為行動支付會成為未來趨勢，還是曇花一現呢？,我的想法是：:你認為行動支付會成為未來趨勢，還是曇花一現呢？,問卷結束囉！科技的發展日新月異，不出幾年就會出現我們未曾想過的發明（例如：虛擬實境、大數據、行動支付⋯⋯等），在驚呼的同時，人們也會對未知的事物保持疑慮。（圖片來源：https://reurl.cc/GdNVXx）對於新發明的誕生，你會選擇擁抱科技還是會適時觀望呢？歡迎寫下你的想法。（如果沒有的話，請按下一頁，開始驗證流程囉！）
1,1994,5,19,18,T,2,,5,,2,3,3,3,1,,,,,,,,6,7,,,,3,,2,,4,,2,,,4,,4,,,4,,2,,,1,,
0,1981,5,7,7,O,4,,2,,3,3,3,4,1,,,1,,,,,,,,,,1,,4,,3,,5,,,3,,3,,,3,,2,,,2,,
1,1988,5,12,12,M,4,,5,,1,1,2,2,1,,,,2,,,,6,7,,,,3,,1,,3,,2,,,95,,4,,,4,,5,,,2,,
0,1970,4,2,2,S,1,,5,,1,1,2,2,2,3,,,,,,,,,,,,,,3,,4,,1,,,90,科技進步,4,,,3,,2,,,2,,
0,1976,6,2,2,S,4,,95,,4,3,4,4,1,,,,2,,,,,,,,,5,,4,,3,,5,,,95,,4,,,3,,1,,,2,,
0,1986,5,4,4,O,1,,5,,2,2,3,3,1,,,,,,,,6,7,,,,3,,2,,3,,1,,,1,,3,,,3,,1,,,2,,
1,1976,5,2,2,C,2,,5,,2,2,2,2,1,,,,,,,,,7,,,,3,,2,,1,,4,,,3,,4,,,2,,4,,,2,,
1,1957,4,2,2,M,1,,5,,2,2,1,1,1,,,,,3,,,,7,8,,,5,,4,,3,,5,,,3,,4,,,4,,5,,,4,,
0,1983,5,14,14,M,1,,5,,2,2,2,3,1,,,,,,,,,7,,,,3,,1,,1,,2,,,2,,3,,,3,,1,,,1,,
1,1979,6,14,14,S,2,,5,,2,2,3,3,2,5,,,,,,,,,,,,,,1,,2,,1,,,2,,1,,,2,,2,,,3,,
0,1985,5,1,1,M,4,,5,,1,1,3,3,1,,,,,,,,6,,,,,3,,1,,1,,5,,,1,,5,,怕過敏,2,,1,,,1,,
0,1987,5,1,1,S,4,,6,,1,1,3,3,1,,,,,,,,6,7,,,,3,,1,,3,,1,,,4,,4,,,3,,2,,,1,,
1,1988,6,1,13,S,1,,95,,4,4,4,4,2,1,,,,,,,,,,,,,,3,,3,,4,,,3,,4,,,4,,4,,,5,,
1,1976,6,1,1,Q,1,,95,,2,2,3,3,1,,,,,,,,,7,,,,91,,2,,4,,5,,,1,,1,,,3,,1,,,3,,
0,1981,3,8,8,U,1,,95,,4,4,4,4,1,,,,,,,,,7,,,,5,,2,,1,,1,,,1,,1,,,3,,1,,,2,,
0,1990,5,15,15,S,1,,5,,1,3,3,3,2,3,,,,,,,,,,,,,,4,,4,,5,,,1,,3,,,2,,2,,,1,,
0,1968,3,19,19,U,1,,95,,2,2,2,2,2,2,,,,,,,,,,,,,,3,,3,,4,,,4,,5,,危險,3,,4,,,2,,
0,1981,3,2,4,Q,1,,5,,3,2,2,3,1,,,,,,,,6,,,,,1,,1,,2,,1,,,3,,3,,,3,,2,,,2,,
1,1983,5,8,8,S,3,,5,,1,1,2,2,1,,,,,3,,,,7,,,,3,,2,,3,,1,,,1,,4,,,4,,2,,,2,,
1,1966,4,11,11,M,4,,6,,1,1,1,1,1,,,1,,,,,6,7,,,,3,,2,,1,,1,,,1,,3,,,3,,1,,,2,,
0,1997,5,4,4,S,5,,95,,1,1,2,3,1,,,,,3,,,6,7,,,,3,,1,,2,,1,,,3,,4,,,3,,2,,,1,,
1,1988,6,15,21,V,1,,5,,1,1,1,3,1,,,,,3,,,6,,8,,,3,,2,,2,,1,,,1,,5,,擔心健康問題,3,,1,,,2,,
0,1994,3,8,8,U,1,,95,,3,3,3,3,2,1,,,,,,,,,,,,,,1,,4,,1,,,95,,4,,,4,,1,,,5,,
0,1996,3,4,4,S,1,,5,,2,2,2,2,1,,,,,,,,,7,,,,3,,1,,3,,1,,,95,,4,,,4,,2,,,2,,
0,1997,6,14,21,T,1,,1,,2,2,3,3,2,2,,,,,,,,,,,,,,4,,4,,4,,,1,,4,,,3,,1,,,2,,
0,1991,3,2,2,U,4,,1,,2,3,2,2,1,,,,,3,,,6,,,,,3,,1,,1,,1,,,1,,1,,,1,,1,,,1,,
1,1977,6,14,14,M,4,,1,,3,3,3,3,1,,,,,,,,,7,,,,3,,2,,2,,2,,,1,,4,,,3,,1,,,1,,
1,1972,6,5,5,U,2,,5,,2,2,2,2,1,,,,,3,,,,7,,,,4,,1,,1,,1,,,1,,3,,,3,,2,,,2,,
1,1982,5,15,15,Q,1,,5,,2,3,3,2,1,,,1,,3,4,,6,7,,,,3,,2,,1,,1,,,2,,3,,,3,,2,,,1,,
